srcStateName,srcDistrictName,srcYear,Country,StateCode,StateName,YearCode,DistrictCode,Year,DistrictName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Jammu and Kashmir,BARAMULLA,2014-15,India,1,JAMMU AND KASHMIR,2014,3,"Agriculture Year (Jul - Jun), 2014",BARAMULLA,1011629,182500,829129,536620,102334,434286,475009,80166,394843,153172,27289,125883,6356,97983.3,104339.284362793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BARAMULLA,2015-16,India,1,JAMMU AND KASHMIR,2015,3,"Agriculture Year (Jul - Jun), 2015",BARAMULLA,1011629,182500,829129,536620,102334,434286,475009,80166,394843,153172,27289,125883,6356,97983.3,104339.284362793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BARAMULLA,2016-17,India,1,JAMMU AND KASHMIR,2016,3,"Agriculture Year (Jul - Jun), 2016",BARAMULLA,1011629,182500,829129,536620,102334,434286,475009,80166,394843,153172,27289,125883,6356,97983.3,104339.284362793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BARAMULLA,2017-18,India,1,JAMMU AND KASHMIR,2017,3,"Agriculture Year (Jul - Jun), 2017",BARAMULLA,1011629,182500,829129,536620,102334,434286,475009,80166,394843,153172,27289,125883,6356,97983.3,104339.284362793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,BARAMULLA,2018-19,India,1,JAMMU AND KASHMIR,2018,3,"Agriculture Year (Jul - Jun), 2018",BARAMULLA,1011629,182500,829129,536620,102334,434286,475009,80166,394843,153172,27289,125883,6356,97983.3,104339.284362793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,DODA,2011-12,India,1,JAMMU AND KASHMIR,2011,4,"Agriculture Year (Jul - Jun), 2011",DODA,409936,32689,377247,213641,18211,195430,196295,14478,181817,79636,6719,72917,1975,134385,136359.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,DODA,2012-13,India,1,JAMMU AND KASHMIR,2012,4,"Agriculture Year (Jul - Jun), 2012",DODA,409936,32689,377247,213641,18211,195430,196295,14478,181817,79636,6719,72917,1975,134385,136359.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,DODA,2013-14,India,1,JAMMU AND KASHMIR,2013,4,"Agriculture Year (Jul - Jun), 2013",DODA,409936,32689,377247,213641,18211,195430,196295,14478,181817,79636,6719,72917,1975,134385,136359.84375,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,DODA,2014-15,India,1,JAMMU AND KASHMIR,2014,4,"Agriculture Year (Jul - Jun), 2014",DODA,409936,32689,377247,213641,18211,195430,196295,14478,181817,79636,6719,72917,1975,134385,136359.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,DODA,2015-16,India,1,JAMMU AND KASHMIR,2015,4,"Agriculture Year (Jul - Jun), 2015",DODA,409936,32689,377247,213641,18211,195430,196295,14478,181817,79636,6719,72917,1975,134385,136359.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
