srcStateName,srcSubDistrictName,srcYear,Government Cold Storages available,Government Cold Storages Capacity,Private Cold Storages available,Private Cold Storages Capacity,Total Number of Cold Storages,Total Capacity of Cold Storages ,srcDistrictName,YearCode,Year
Karnataka,Indi,2019-20,,,,,0,0,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Jagaluru,2019-20,,,,,0,0,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Jamakhandi,2019-20,1.0,750.0,0.0,0.0,1,750,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Jevargi,2019-20,,,,,0,0,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Joida,2019-20,,,,,0,0,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kadaba,2019-20,,,,,0,0,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kadur,2019-20,0.0,0.0,1.0,1000.0,1,1000,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kagavada,2019-20,,,,,0,0,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kalagi,2019-20,,,,,0,0,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kalgatgi,2019-20,,,,,0,0,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kamalanagara,2019-20,,,,,0,0,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kamalapura,2019-20,,,,,0,0,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kampli,2019-20,,,,,0,0,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kanakagiri,2019-20,,,,,0,0,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kapu,2019-20,0.0,0.0,0.0,0.0,0,0,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Karatagi,2019-20,,,,,0,0,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Karkala,2019-20,0.0,0.0,0.0,0.0,0,0,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Karwar,2019-20,,,,,0,0,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
