ROWID,Country,State LGD Code,State,District LGD Code,District,Sub-District LGD Code,Sub-District,SourceYear,Government Cold Storages available,Government Cold Storages Capacity,Private Cold Storages available,Private Cold Storages Capacity,Total Number of Cold Storages,Total Capacity of Cold Storages ,YearCode,Year
199,India,29,Karnataka,533,Chitradurga,5507,Hosdurga,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
41,India,29,Karnataka,533,Chitradurga,5508,Hiriyur,2019-20,0.0,0.0,1.0,1500.0,1,1500,2019,"Financial Year (Apr - Mar), 2019"
47,India,29,Karnataka,534,Dakshina Kannada,5561,Mangaluru,2019-20,0.0,0.0,2.0,3650.0,2,3650,2019,"Financial Year (Apr - Mar), 2019"
201,India,29,Karnataka,534,Dakshina Kannada,5562,Bantval,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
202,India,29,Karnataka,534,Dakshina Kannada,5563,Beltangadi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
205,India,29,Karnataka,534,Dakshina Kannada,5564,Puttur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
206,India,29,Karnataka,534,Dakshina Kannada,5565,Sulya,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
204,India,29,Karnataka,534,Dakshina Kannada,7102,Moodubidire,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
203,India,29,Karnataka,534,Dakshina Kannada,7104,Kadaba,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
209,India,29,Karnataka,535,Davangere,5509,Harihar,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
211,India,29,Karnataka,535,Davangere,5511,Jagalur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
208,India,29,Karnataka,535,Davangere,5512,Davanagere,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
210,India,29,Karnataka,535,Davangere,5513,Honnali,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
207,India,29,Karnataka,535,Davangere,5514,Channagiri,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
212,India,29,Karnataka,535,Davangere,7076,Nyamathi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
215,India,29,Karnataka,536,Dharwad,5473,Dharwad,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
219,India,29,Karnataka,536,Dharwad,5474,Navalgund,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
216,India,29,Karnataka,536,Dharwad,5475,Hubballi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
217,India,29,Karnataka,536,Dharwad,5476,Kalghatgi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
218,India,29,Karnataka,536,Dharwad,5477,Kundgol,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
66,India,29,Karnataka,536,Dharwad,7079,Hubballi Urban,2019-20,1.0,2250.0,4.0,23300.0,5,25550,2019,"Financial Year (Apr - Mar), 2019"
214,India,29,Karnataka,536,Dharwad,7080,Annigeri,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
213,India,29,Karnataka,536,Dharwad,7081,Alnavar,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
34,India,29,Karnataka,537,Gadag,5468,Nargund,2019-20,0.0,0.0,2.0,26.0,2,26,2019,"Financial Year (Apr - Mar), 2019"
223,India,29,Karnataka,537,Gadag,5469,Ron,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
57,India,29,Karnataka,537,Gadag,5470,Gadag,2019-20,1.0,1000.0,1.0,6000.0,2,7000,2019,"Financial Year (Apr - Mar), 2019"
224,India,29,Karnataka,537,Gadag,5471,Shirhatti,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
222,India,29,Karnataka,537,Gadag,5472,Mundargi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
220,India,29,Karnataka,537,Gadag,7082,Gajendragad,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
221,India,29,Karnataka,537,Gadag,7083,Laxmeshwar,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
81,India,29,Karnataka,538,Kalaburagi,5580,Aland,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
11,India,29,Karnataka,538,Kalaburagi,5581,Afzalpur,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
58,India,29,Karnataka,538,Kalaburagi,5582,Kalaburagi,2019-20,0.0,0.0,2.0,9799.0,2,9799,2019,"Financial Year (Apr - Mar), 2019"
82,India,29,Karnataka,538,Kalaburagi,5583,Chincholi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
87,India,29,Karnataka,538,Kalaburagi,5584,Sedam,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
83,India,29,Karnataka,538,Kalaburagi,5585,Chittapur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
84,India,29,Karnataka,538,Kalaburagi,5586,Jevargi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
85,India,29,Karnataka,538,Kalaburagi,7087,Kalagi,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
88,India,29,Karnataka,538,Kalaburagi,7088,Shahabad,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
89,India,29,Karnataka,538,Kalaburagi,7089,Yadrami,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
86,India,29,Karnataka,538,Kalaburagi,7090,Kamalapur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
74,India,29,Karnataka,539,Hassan,5553,Sakleshpur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
71,India,29,Karnataka,539,Hassan,5554,Belur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
227,India,29,Karnataka,539,Hassan,5555,Arsikere,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
68,India,29,Karnataka,539,Hassan,5556,Hassan,2019-20,1.0,120.0,8.0,58000.0,9,58120,2019,"Financial Year (Apr - Mar), 2019"
225,India,29,Karnataka,539,Hassan,5557,Alur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
226,India,29,Karnataka,539,Hassan,5558,Arkalgud,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
73,India,29,Karnataka,539,Hassan,5559,Hole Narsipur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
72,India,29,Karnataka,539,Hassan,5560,Channarayapatna,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
80,India,29,Karnataka,540,Haveri,5489,Shiggaon,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
79,India,29,Karnataka,540,Haveri,5490,Savanur,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
